,uu_id,timeperiod,week_number,countyfips,tract,tract_name,total_claims,edu_8th_or_less,edu_grades_9_11,edu_hs_grad_equiv,edu_post_hs,edu_unknown,top_category_employer1,top_category_employer2,top_category_employer3,gender_female,gender_male,gender_na,race_amerindian,race_asian,race_black,race_noanswer,race_hawaiiannative,race_other,race_white,average_wage
0,e201385d37b5f6eea30f6d6d4106dc6f,20220423,17,18003,800,"Census Tract 8, Allen County, Indiana",12,0,0,0,0,0,31-33,99,92,0,0,0,0,0,0,0,0,0,0,8558.0
1,e201385d37b5f6eea30f6d6d4106dc6f,20220305,10,18003,800,"Census Tract 8, Allen County, Indiana",14,0,0,0,0,0,31-33,23,92,0,0,0,0,0,0,0,0,0,0,8558.0
2,e201385d37b5f6eea30f6d6d4106dc6f,20220219,8,18003,800,"Census Tract 8, Allen County, Indiana",20,0,0,14,0,0,31-33,23,92,0,0,0,0,0,0,0,0,12,0,8558.0
3,e201385d37b5f6eea30f6d6d4106dc6f,20220702,27,18003,800,"Census Tract 8, Allen County, Indiana",12,0,0,0,0,0,62,55,52,0,0,0,0,0,0,0,0,0,0,8558.0
4,e201385d37b5f6eea30f6d6d4106dc6f,20220319,12,18003,800,"Census Tract 8, Allen County, Indiana",10,0,0,0,0,0,31-33,56,99,0,0,0,0,0,0,0,0,0,0,8558.0
5,e201385d37b5f6eea30f6d6d4106dc6f,20220409,15,18003,800,"Census Tract 8, Allen County, Indiana",15,0,0,10,0,0,31-33,56,44-45,0,0,0,0,0,0,0,0,0,0,8558.0
6,e201385d37b5f6eea30f6d6d4106dc6f,20220820,34,18003,800,"Census Tract 8, Allen County, Indiana",15,0,0,0,0,0,31-33,56,48-49,0,0,0,0,0,0,0,0,0,0,8558.0
7,e201385d37b5f6eea30f6d6d4106dc6f,20220820,34,18003,800,"Census Tract 8, Allen County, Indiana",15,0,0,0,0,0,31-33,56,48-49,0,0,0,0,0,0,0,0,0,0,8558.0
8,e201385d37b5f6eea30f6d6d4106dc6f,20220129,5,18003,800,"Census Tract 8, Allen County, Indiana",19,0,0,0,0,0,31-33,62,72,0,0,0,0,0,0,0,0,0,15,8558.0
9,e201385d37b5f6eea30f6d6d4106dc6f,20220514,20,18003,800,"Census Tract 8, Allen County, Indiana",15,0,0,0,0,0,31-33,62,52,0,0,0,0,0,0,0,0,0,10,8558.0
10,e201385d37b5f6eea30f6d6d4106dc6f,20220521,21,18003,800,"Census Tract 8, Allen County, Indiana",29,0,0,21,0,0,31-33,62,44-45,0,0,0,0,0,0,0,0,0,24,8558.0
11,e201385d37b5f6eea30f6d6d4106dc6f,20220903,36,18003,800,"Census Tract 8, Allen County, Indiana",28,0,0,0,0,23,54,62,44-45,0,0,0,0,0,0,0,0,0,0,8558.0
12,e201385d37b5f6eea30f6d6d4106dc6f,20220716,29,18003,800,"Census Tract 8, Allen County, Indiana",11,0,0,0,0,0,31-33,62,56,0,0,0,0,0,0,0,0,0,0,8558.0
13,e201385d37b5f6eea30f6d6d4106dc6f,20220903,36,18003,800,"Census Tract 8, Allen County, Indiana",28,0,0,0,0,23,54,62,44-45,0,0,0,0,0,0,0,0,0,0,8558.0
14,e201385d37b5f6eea30f6d6d4106dc6f,20220827,35,18003,800,"Census Tract 8, Allen County, Indiana",11,0,0,0,0,0,31-33,72,56,0,0,0,0,0,0,0,0,0,0,8558.0
